code,SMILES,Metal,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,PV
ABAVIJ,C1=CN=CC=C1C(=O)O,Co,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.12066
ABAYIO,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Mn,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.50924
ABAZAF,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,Zn,10.64102564,114.5120855,-0.872576177,-39.95567867,4.653739612,32.07910126,-26.71899046,341.0205921,-395.2272923,-82.49993911,-171.0374962,-2.251463989,-15.36591958,-0.159510619,1.383336885,1.746852814,76.06475325,5.749511833,5.749511833,2.938425926,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.1817
ABEXEN,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,49,114.818,193,3.1,9.7,29,5.786,7.31,0.6455
ABUHAJ,C1=CN=CC=C1C2=CC=NC=C2,Mn,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.02448
ACAJOF,C(CC(=O)O)CC(=O)O,Cu,5.685185185,121.9371318,11.88927336,-54.35294118,-28.65051903,43.64619377,-44.33006536,-180.0195412,396.3992335,-332.4902357,13.27482913,-1.466084429,-1.946221552,-1.293348712,-0.744329104,2.48566421,43.06526463,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.30554
ACENIF,C1=CC=NC(=C1)C(=O)O,Zn,5.424242424,68.1862733,4.244897959,-0.775510204,6.612244898,15.05102041,5.85430839,-131.9440465,-16.01339901,-201.2994466,-37.443128,-0.750289796,2.652382556,-1.354141657,-1.842300557,-2.031233476,23.35832815,5.693927995,0,4.755185185,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.26808
ACIBOE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,6.939393939,152.6444687,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,0,0,2.699722222,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.35742
ACICOH,C1=CN=CC=C1C(=O)O,Ni,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,28,58.693,163,4.4,6.8,112,7.64,8.912,0.3082
ACOLEL,C1=CC(=C(C=C1C(=O)O)N)C(=O)O,Mn,5.821548822,115.1665639,14.01,-34.97,38.92,35.20111111,-14.48555556,-280.433781,224.6625939,4.290158193,-54.96179564,-1.068,-18.95587204,-1.0925,-0.913030303,4.203716805,-6.706334219,0,0,3.481203704,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.84322
