code,SMILES,Metal,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,SSA
ABAVIJ,C1=CN=CC=C1C(=O)O,Co,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,27,58.93319,192,4.3,7.5,64,7.881,8.86,107.452
ABAYIO,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Mn,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,25,54.93804,197,3.72,9.4,-50,7.434,7.3,1530.81
ABAZAF,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,Zn,10.64102564,160.5851153,151.5841872,-0.872576177,-66.48199446,-82.49993911,-171.0374962,76.06475325,-0.594210526,-15.36591958,7.749371444,-0.763399727,7.83933518,-1.899485556,36.5352815,1.746852814,-8.988056674,18.19910121,16.87641482,0.7886,30,65.4,139,4.45,6.4,-60,9.394,7.134,269.036
ABEXEN,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,49,114.818,193,3.1,9.7,29,5.786,7.31,2372.69045
ABUHAJ,C1=CN=CC=C1C2=CC=NC=C2,Mn,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,25,54.93804,197,3.72,9.4,-50,7.434,7.3,18.2562
ACAJOF,C(CC(=O)O)CC(=O)O,Cu,5.685185185,167.9481259,168.5109261,11.88927336,-65.64705882,-332.4902357,13.27482913,43.06526463,3.97799308,-1.946221552,1.919941941,-1.303825452,9.162629758,-1.930795848,42.74078143,2.48566421,-8.875851488,6.420821623,19.26246487,0.3259,29,63.55,140,4.48,6.7,119,7.726,8.933,789.694
ACENIF,C1=CC=NC(=C1)C(=O)O,Zn,5.424242424,161.9640736,162.3293254,4.244897959,5.93877551,-201.2994466,-37.443128,0,-0.38315051,2.652382556,0.869421309,0.254535147,7.530612245,0.258207631,35.44306652,-2.031233476,1.036936454,12.13273414,5.693927995,0.7798,30,65.4,139,4.45,6.4,-60,9.394,7.134,699.986
ACIBOE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Zn,6.939393939,160.1601348,149.5810306,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,6.18,-17.17443023,15.12841755,-0.469562184,7.551020408,-1.35321821,35.1171682,2.188865482,-6.462334248,18.19910121,16.69035448,0.7812,30,65.4,139,4.45,6.4,-60,9.394,7.134,783.438
ACICOH,C1=CN=CC=C1C(=O)O,Ni,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,28,58.693,163,4.4,6.8,112,7.64,8.912,464.284
ACOLEL,C1=CC(=C(C=C1C(=O)O)N)C(=O)O,Mn,5.821548822,163.0911809,152.8391257,14.01,-36.27,4.290158193,-54.96179564,-26.82533688,-0.7468045,-18.95587204,2.26333397,-0.391501502,7.91,-0.98027027,37.02908443,4.203716805,-4.715482013,18.19910121,16.81428926,0.6652,25,54.93804,197,3.72,9.4,-50,7.434,7.3,6342.95
