code,SMILES,Metal,solvents,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),SSA
ABAVIJ,C1=CN=CC=C1C(=O)O,Co,ethanol,6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,27,58.93319,192,4.3,7.5,64,7.881,8.86,46.07,24.3,-0.31,1,1,0.3,78.37,107.452
ABEXEN,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,dimethylformamide,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,49,114.818,193,3.1,9.7,29,5.786,7.31,73.09,36.7,-0.85,1,2,0.37,153,2372.69045
ABUHAJ,C1=CN=CC=C1C2=CC=NC=C2,Mn,ethanol,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,25,54.93804,197,3.72,9.4,-50,7.434,7.3,46.07,24.3,-0.31,1,1,0.3,78.37,18.2562
ACAJOF,C(CC(=O)O)CC(=O)O,Cu,acetone,5.685185185,167.9481259,168.5109261,11.88927336,-65.64705882,-332.4902357,13.27482913,43.06526463,3.97799308,-1.946221552,1.919941941,-1.303825452,9.162629758,-1.930795848,42.74078143,2.48566421,-8.875851488,6.420821623,19.26246487,0.3259,29,63.55,140,4.48,6.7,119,7.726,8.933,58.08,20.7,-0.24,0,1,0.17,56.05,789.694
ACICOH,C1=CN=CC=C1C(=O)O,Ni,"N,N-dimethylformamide",6.083333333,161.9640736,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0,0.097602551,-5.761308638,0,-0.162304052,7.530612245,-0.816326531,35.44306652,-3.129332876,-3.938246767,12.13273414,5.563451492,0.7798,28,58.693,163,4.4,6.8,112,7.64,8.912,73.09,36.7,-0.85,1,2,0.37,153,464.284
ACOLIP,C1=CC(=C(C=C1C(=O)O)N)C(=O)O,Zn,"N,N-dimethylformamide",5.821548822,163.0911809,152.8391257,14.01,-36.27,4.290158193,-54.96179564,-26.82533688,-0.7468045,-18.95587204,2.26333397,-0.391501502,7.91,-0.98027027,37.02908443,4.203716805,-4.715482013,18.19910121,16.81428926,0.6652,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,488.154
ADAXIO,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylformamide",4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,728.457
AFITEP,C1=CN=CC=C1C2=CC=NC=C2,Zn,dimethylformamide,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,895.145
AHISUI,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Pr,dimethylformamide,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,59,140.90766,239,3.1,28.2,93,5.464,6.77,73.09,36.7,-0.85,1,2,0.37,153,126.194
AHITAP,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Nd,dimethylformamide,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,60,144.24,229,3.1,31.4,185,5.525,7.01,73.09,36.7,-0.85,1,2,0.37,153,133.476
