iter	Passed	Remaining
0	137	9461
1	139	4742
2	142	3175
3	144	2385
4	146	1909
5	149	1592
6	151	1361
7	153	1188
8	155	1053
9	157	944
10	159	854
11	161	781
12	164	720
13	166	665
14	168	616
15	170	575
16	172	538
17	174	504
18	176	474
19	179	449
20	181	423
21	183	400
22	185	379
23	187	359
24	189	341
25	191	324
26	193	308
27	195	293
28	197	279
29	199	266
30	201	253
31	203	241
32	205	230
33	207	219
34	208	208
35	210	198
36	211	189
37	213	179
38	215	171
39	217	163
40	219	155
41	222	148
42	223	140
43	225	133
44	226	126
45	228	119
46	230	112
47	232	106
48	236	101
49	239	95
50	241	89
51	243	84
52	245	78
53	247	73
54	249	68
55	251	62
56	253	57
57	255	52
58	256	47
59	258	43
60	260	38
61	262	33
62	265	29
63	267	25
64	269	20
65	271	16
66	273	12
67	275	8
68	277	4
69	280	0
