AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,0.3,78.37,0.12066
3.374485597,1.0,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,12.84127362,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,0.6455
2.5,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,7.925925926,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,46.07,24.3,-0.31,0.3,78.37,0.02448
5.685185185,11.88927336,-54.35294118,-28.65051903,43.64619377,-44.33006536,-180.0195412,396.3992335,-332.4902357,13.27482913,-1.466084429,-1.946221552,-1.293348712,-0.744329104,2.48566421,43.06526463,0.0,29.0,63.55,140.0,4.48,6.7,119.0,7.726,8.933,58.08,20.7,-0.24,0.17,56.05,0.30554
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,28.0,58.693,163.0,4.4,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,0.3082
5.821548822,14.01,-34.97,38.92,35.20111111,-14.48555556,-280.433781,224.6625939,4.290158193,-54.96179564,-1.068,-18.95587204,-1.0925,-0.913030303,4.203716805,-6.706334219,3.481203704,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.26756
4.874396135,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,5.022962963,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.31528
2.5,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,7.925925926,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.34602
5.956521739,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,5.195555556,59.0,140.90766,239.0,3.1,28.2,93.0,5.464,6.77,73.09,36.7,-0.85,0.37,153.0,0.12626
5.956521739,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,5.195555556,60.0,144.24,229.0,3.1,31.4,185.0,5.525,7.01,73.09,36.7,-0.85,0.37,153.0,0.1224
