AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC6pe,AATSC5dv,AATSC0v,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,Boiling Point (°C),Target
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,27.0,58.93319,192.0,64.0,7.881,8.86,46.07,24.3,-0.31,78.37,1.52493
157.6435699,1.0,-45.5,203.0,-407.0307408,1.491045918,0.305555556,46.91945671,6.836984153,2.75,49.0,114.818,193.0,29.0,5.786,7.31,73.09,36.7,-0.85,153.0,0.674371
172.8966427,-28.08,-29.42,129.8,-120.0865862,-0.042336,0.585,50.28462104,0.0,2.1436,25.0,54.93804,197.0,-50.0,7.434,7.3,46.07,24.3,-0.31,78.37,1.4536
178.7720847,11.88927336,-54.35294118,155.7647059,-148.8894545,3.516550865,-0.744329104,42.78332994,6.749993194,0.3259,29.0,63.55,140.0,119.0,7.726,8.933,58.08,20.7,-0.24,56.05,1.21871
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,28.0,58.693,163.0,112.0,7.64,8.912,73.09,36.7,-0.85,153.0,1.25034
175.1344561,14.01,-34.97,158.2,-403.3543722,-0.4656,-0.913030303,42.37728459,6.824833415,0.6652,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.0495
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.28062
172.8966427,-28.08,-29.42,129.8,-120.0865862,-0.042336,0.585,50.28462104,0.0,2.1436,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.06929
176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,1.733906173,0.402039721,42.93582616,6.828547389,1.083,59.0,140.90766,239.0,93.0,5.464,6.77,73.09,36.7,-0.85,153.0,1.69914
176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,1.733906173,0.402039721,42.93582616,6.828547389,1.083,60.0,144.24,229.0,185.0,5.525,7.01,73.09,36.7,-0.85,153.0,1.71796
