iter	RMSE
0	0.3309204328
1	0.3223464465
2	0.3148187631
3	0.3080226135
4	0.3029939772
5	0.2965829287
6	0.2906942331
7	0.2857138131
8	0.2833735841
9	0.2789873905
10	0.275585509
11	0.2728134937
12	0.2685575354
13	0.2642652801
14	0.2619244912
15	0.2599128688
16	0.2579313617
17	0.2561872013
18	0.2542224905
19	0.2517487488
20	0.2498590497
21	0.2482555629
22	0.245686801
23	0.2442937931
24	0.2423313599
25	0.2401914003
26	0.2390377662
27	0.2376448825
28	0.2360773556
29	0.2348700414
30	0.2335924479
31	0.231500687
32	0.2304426473
33	0.2291865718
34	0.2279605556
35	0.2264279777
36	0.2249579762
37	0.2244282144
38	0.2235187524
39	0.2221665546
40	0.2211643775
41	0.2204886764
42	0.2196412176
43	0.2182760642
44	0.2167216433
45	0.2161595496
46	0.2150743839
47	0.2141744561
48	0.2136487632
49	0.2127370826
50	0.2120313816
51	0.2107351852
52	0.2103491911
53	0.2091550754
54	0.2078043053
55	0.2075772107
56	0.2070562145
57	0.2067774341
58	0.2060779062
59	0.2051469958
60	0.204698777
61	0.204281763
62	0.2040574378
63	0.2038904659
64	0.2036124847
65	0.2028989816
66	0.2018990776
67	0.2016541408
68	0.2009570165
69	0.2002708295
70	0.1995120756
71	0.1990758989
72	0.198606995
73	0.1982335193
74	0.1980562808
75	0.197538883
76	0.1972090489
77	0.1962752255
78	0.1959784579
79	0.1956661598
80	0.1943723758
81	0.1942316115
82	0.1938196838
83	0.1936403948
84	0.1934888638
85	0.1930041624
86	0.192738978
87	0.1924625481
88	0.192319305
89	0.1921320143
90	0.191998186
91	0.1918290145
92	0.191149768
93	0.1907554242
94	0.1897890953
95	0.1896561316
96	0.1888708609
97	0.1880518517
98	0.1875013822
99	0.187397809
100	0.1872647649
101	0.1868491928
102	0.1860532061
103	0.1859675632
104	0.1857789462
105	0.1855781892
106	0.1854003326
107	0.1847730919
108	0.1846565953
109	0.1845396074
110	0.1838178506
111	0.1837203649
112	0.1835577303
113	0.1834029572
114	0.1827162025
115	0.1820593111
116	0.1819894674
117	0.1813883602
118	0.1812544315
119	0.180953693
120	0.180893775
121	0.1808293304
122	0.1802742531
123	0.1795595905
124	0.1789119109
125	0.1788753674
126	0.1782420829
127	0.1781437431
128	0.1780081786
129	0.1779708532
130	0.1777738516
131	0.1772884259
132	0.1772465606
133	0.1771863482
134	0.1762454659
135	0.1761646715
136	0.1760320684
137	0.1752855966
138	0.175246544
139	0.1743868132
140	0.1743394306
141	0.1738379825
142	0.1737783232
143	0.1736778292
144	0.1731674922
145	0.173127021
146	0.1726871342
147	0.1726317991
148	0.1725831205
149	0.1725515036
150	0.1719937812
151	0.1717603915
152	0.1709801429
153	0.170632962
154	0.1701928657
155	0.1700049341
156	0.1695235153
157	0.1694901724
158	0.1689326094
159	0.1689031159
160	0.1688736912
161	0.1687860274
162	0.1687571927
163	0.1683175097
164	0.1677679105
165	0.1673671924
166	0.1669098543
167	0.1668854469
168	0.1666716531
169	0.1660064121
170	0.1659772462
171	0.1656399098
172	0.165140363
173	0.1651155798
174	0.1646665442
175	0.1639216299
176	0.1638817663
177	0.1634862806
178	0.163096919
179	0.1630449625
