iter	Passed	Remaining
0	152	27359
1	157	14007
2	161	9538
3	168	7392
4	172	6039
5	177	5141
6	182	4505
7	186	4016
8	189	3599
9	194	3300
10	198	3050
11	202	2839
12	208	2684
13	213	2536
14	218	2407
15	222	2285
16	227	2183
17	233	2097
18	237	2011
19	242	1939
20	248	1884
21	253	1823
22	260	1775
23	264	1720
24	269	1668
25	275	1630
26	279	1584
27	284	1544
28	292	1521
29	296	1484
30	302	1456
31	308	1426
32	313	1396
33	319	1373
34	324	1346
35	333	1334
36	339	1312
37	345	1291
38	350	1268
39	355	1244
40	362	1230
41	366	1204
42	370	1179
43	373	1153
44	375	1126
45	378	1101
46	381	1078
47	384	1057
48	387	1035
49	389	1013
50	392	992
51	395	972
52	398	954
53	400	934
54	402	915
55	405	897
56	408	880
57	410	863
58	412	846
59	414	829
60	416	812
61	418	796
62	420	781
63	421	764
64	423	749
65	426	736
66	428	722
67	430	708
68	432	695
69	434	682
70	436	670
71	439	658
72	441	646
73	443	634
74	444	622
75	446	611
76	448	600
77	451	589
78	453	579
79	454	568
80	456	558
81	458	548
82	460	538
83	462	528
84	464	518
85	466	510
86	468	500
87	470	491
88	472	482
89	473	473
90	475	465
91	477	457
92	480	449
93	482	441
94	484	433
95	486	425
96	488	418
97	491	411
98	494	404
99	496	396
100	497	389
101	499	382
102	501	374
103	503	367
104	505	361
105	507	354
106	509	347
107	511	341
108	513	334
109	515	327
110	517	321
111	519	315
112	521	309
113	523	302
114	525	296
115	527	290
116	528	284
117	530	278
118	533	273
119	534	267
120	536	261
121	538	256
122	540	250
123	542	244
124	544	239
125	547	234
126	549	229
127	551	223
128	553	218
129	555	213
130	556	208
131	559	203
132	560	198
133	562	193
134	564	188
135	566	183
136	568	178
137	570	173
138	571	168
139	574	164
140	576	159
141	578	154
142	579	150
143	581	145
144	583	140
145	585	136
146	588	132
147	590	127
148	591	123
149	593	118
150	595	114
151	597	110
152	599	105
153	601	101
154	603	97
155	605	93
156	607	89
157	609	84
158	611	80
159	613	76
160	615	72
161	617	68
162	619	64
163	621	60
164	623	56
165	625	52
166	628	48
167	630	45
168	631	41
169	633	37
170	635	33
171	637	29
172	639	25
173	641	22
174	643	18
175	645	14
176	647	10
177	648	7
178	650	3
179	652	0
