AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC5m,ATSC6m,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,Atomic_Number,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,MPC,Boiling Point (°C),Target
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,27.0,192.0,7.5,64.0,7.881,8.86,46.07,24.3,0.3,78.37,0.12066
3.374485597,1.0,-45.5,4.75,-50.24567372,530.5430741,-1.999238776,-13.72631812,-1.116666667,0.305555556,49.0,193.0,9.7,29.0,5.786,7.31,73.09,36.7,0.37,153.0,0.6455
2.5,-28.08,-29.42,1.69,87.61725472,77.00815584,-0.031066,5.60363627,-0.325294118,0.585,25.0,197.0,9.4,-50.0,7.434,7.3,46.07,24.3,0.3,78.37,0.02448
5.685185185,11.88927336,-54.35294118,-28.65051903,-180.0195412,396.3992335,-1.466084429,-1.946221552,-1.293348712,-0.744329104,29.0,140.0,6.7,119.0,7.726,8.933,58.08,20.7,0.17,56.05,0.30554
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,28.0,163.0,6.8,112.0,7.64,8.912,73.09,36.7,0.37,153.0,0.3082
5.821548822,14.01,-34.97,38.92,-280.433781,224.6625939,-1.068,-18.95587204,-1.0925,-0.913030303,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.26756
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.31528
2.5,-28.08,-29.42,1.69,87.61725472,77.00815584,-0.031066,5.60363627,-0.325294118,0.585,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.34602
5.956521739,8.061728395,-24.37037037,-14.81481481,128.7722934,4.396809432,-2.387660494,-13.6613542,-1.152006173,0.402039721,59.0,239.0,28.2,93.0,5.464,6.77,73.09,36.7,0.37,153.0,0.12626
5.956521739,8.061728395,-24.37037037,-14.81481481,128.7722934,4.396809432,-2.387660494,-13.6613542,-1.152006173,0.402039721,60.0,229.0,31.4,185.0,5.525,7.01,73.09,36.7,0.37,153.0,0.1224
5.956521739,8.061728395,-24.37037037,-14.81481481,128.7722934,4.396809432,-2.387660494,-13.6613542,-1.152006173,0.402039721,64.0,237.0,23.5,13.0,6.15,7.9,73.09,36.7,0.37,153.0,0.12404
3.406349206,7.122769064,-74.70308275,133.1195241,-499.7510135,345.1171454,-4.049456463,-11.4038192,-1.302707346,-0.35027428,48.0,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,0.25,165.1,0.17842
3.05026455,-6.633217993,-80.28373702,-33.34256055,148.3771986,511.8979713,-2.7619609,-21.2120641,-0.719723183,0.171033119,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.30574
