AATS5s,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC3i,AATSC0Z,AATSC2m,AtomicMass,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,58.93319,192.0,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,0.3,78.37,107.452
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,2372.69045
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,54.93804,197.0,9.4,-50.0,7.434,7.3,46.07,24.3,-0.31,0.3,78.37,18.2562
5.685185185,11.88927336,-65.64705882,-332.4902357,13.27482913,43.06526463,-1.946221552,9.162629758,2.48566421,63.55,140.0,6.7,119.0,7.726,8.933,58.08,20.7,-0.24,0.17,56.05,789.694
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,464.284
5.821548822,14.01,-36.27,4.290158193,-54.96179564,-26.82533688,-18.95587204,7.91,4.203716805,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,488.154
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,728.457
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,895.145
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,140.90766,239.0,28.2,93.0,5.464,6.77,73.09,36.7,-0.85,0.37,153.0,126.194
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,144.24,229.0,31.4,185.0,5.525,7.01,73.09,36.7,-0.85,0.37,153.0,133.476
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,157.2,237.0,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,0.37,153.0,122.108
3.406349206,7.122769064,-45.40075717,-388.8149985,-209.4552147,-83.18651229,-11.4038192,7.223363981,0.034641831,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,365.738
3.05026455,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,-21.2120641,6.955017301,-0.588251461,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,788.387
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,32.2,-0.85,0.25,165.1,119.314
4.075757576,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,-27.84063931,7.155555556,-0.355741292,140.116,235.0,29.6,635.0,5.539,6.77,78.13,47.2,-1.3,0.43,189.0,3679.06
4.075757576,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,-27.84063931,7.155555556,-0.355741292,150.4,229.0,28.8,16.0,5.644,7.52,78.13,47.2,-1.3,0.43,189.0,3620.99
4.075757576,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,-27.84063931,7.155555556,-0.355741292,151.964,233.0,27.7,83.0,5.67,5.24,78.13,47.2,-1.3,0.43,189.0,3622.64
4.075757576,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,-27.84063931,7.155555556,-0.355741292,157.2,237.0,23.5,13.0,6.15,7.9,78.13,47.2,-1.3,0.43,189.0,3555.28
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,915.091
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,78.11,2.2,2.13,0.16,80.1,944.218
27.33816425,-3.530864198,-18.48148148,-3.909604166,-39.74826508,53.39404833,-43.23549187,5.358024691,-0.375275485,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,626.031
27.33816425,-3.530864198,-18.48148148,-3.909604166,-39.74826508,53.39404833,-43.23549187,5.358024691,-0.375275485,114.818,193.0,9.7,29.0,5.786,7.31,78.11,2.2,2.13,0.16,80.1,974.851
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,112.41,158.0,7.2,-70.0,8.994,8.69,17.03,22.2,-0.23,0.3,-33.34,483.699
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,89.13,37.7,-0.55,0.2,174.0,372.152
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,54.93804,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,433.613
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,31.06,5.1,0.23,0.19,-6.3,1878.51
