Matched_Solvent_Type,Matched_Metal_Type,Matched_Descriptor
6228,5,O=C(O)c1cc(C(=O)O)cc(-c2ccncc2)c1
6228,1,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1
6228,3,CC1(C)c2cc(C(=O)O)ccc2-c2ccc(C(=O)O)cc21
887,12,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
887,12,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,3,CC1(C)c2cc(C(=O)O)ccc2-c2ccc(C(=O)O)cc21
6342,12,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,12,O=C(O)c1ccc(C2NNNN2)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,12,O=C(O)c1ccc(C2NNNN2)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
887,12,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,12,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,12,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6228,15,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
6342,8,O=C(O)C=Cc1ccc(C(=O)O)cc1
