Matched_Solvent_Type,Matched_Metal_Type,Matched_Descriptor
6228,1,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1
962,1,N=C(NCC(=O)O)c1ccncc1
887,12,O=C(O)c1ccc(-c2ccncc2)cc1
6228,15,O=C(O)c1ccc(C(=O)O)nc1
263,15,N=C(NCC(=O)O)c1ccncc1
6342,15,O=C(O)Cc1ccc(-n2cnnc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6342,12,O=C(O)c1ccc(-c2ccncc2)cc1
263,15,O=C(O)c1ccc(-c2ccncc2)cc1
887,12,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6228,2,O=C(O)c1ccc(-c2cncnc2)cc1
6342,12,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6228,15,O=C(O)Cc1ccc(-n2cnnc2)cc1
263,15,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
263,8,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6228,15,O=C(O)c1ccc(-c2ccncc2)cc1
263,8,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6228,15,O=C(O)c1ccc(-c2ccncc2)cc1
263,8,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6228,15,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
6342,15,O=C(O)c1ccc(-c2ccncc2)cc1
