iter	RMSE
0	1134.330635
1	1097.393592
2	1062.38846
3	1029.556038
4	998.0426198
5	967.0248733
6	940.9655653
7	916.4002404
8	891.4116083
9	872.0636715
10	858.2944193
11	837.7498463
12	824.1725474
13	810.0563135
14	795.3015955
15	780.3823838
16	764.8264993
17	752.2718987
18	739.3685292
19	727.5837301
20	716.8572413
21	708.6666513
22	696.32345
23	687.0728313
24	679.8229913
25	671.338997
26	661.2448696
27	653.3840198
28	646.1206766
29	639.1552089
30	630.4935476
31	625.5922567
32	616.0692995
33	611.8672958
34	606.384286
35	599.6172033
36	593.6691995
37	586.805353
38	581.9025142
39	575.3607889
40	568.8051722
41	564.590092
42	560.2063207
43	555.5899928
44	549.4021344
45	546.5393639
46	544.3744693
47	538.5882433
48	533.8089635
49	530.7566001
50	528.8559678
51	525.7461256
52	522.2789951
53	517.1314384
54	511.3915353
55	506.9887424
56	504.1315652
57	500.3503406
58	497.2135343
59	495.4127813
60	490.1563667
61	487.7469417
62	483.066793
63	479.3639488
64	477.3026596
65	472.0938466
66	469.3894825
67	467.2410045
68	464.5868108
69	462.8319707
70	458.1895628
71	453.9895165
72	448.9280085
73	445.8145357
74	442.7547971
75	439.1049604
76	434.7760042
77	432.0166382
78	427.818624
79	426.9542771
80	421.9527652
81	419.078605
82	416.4517327
83	412.3027301
84	410.8535029
85	405.9322971
86	405.5977907
87	403.340565
88	402.5836601
89	397.8431179
90	396.6979676
91	395.7430414
92	391.5176408
93	387.2630708
94	384.6574171
95	381.8007244
96	380.351114
97	379.6490679
98	376.9222083
99	376.6439726
