iter	Passed	Remaining
0	96	9517
1	100	4929
2	104	3394
3	109	2632
4	114	2171
5	118	1860
6	124	1650
7	128	1478
8	132	1343
9	137	1238
10	142	1152
11	147	1079
12	151	1014
13	155	957
14	160	908
15	165	867
16	169	827
17	174	794
18	178	760
19	183	735
20	188	707
21	192	682
22	197	660
23	202	641
24	207	622
25	211	602
26	216	584
27	220	567
28	225	551
29	229	535
30	233	520
31	238	506
32	242	492
33	246	478
34	250	465
35	255	453
36	260	443
37	264	431
38	269	421
39	273	410
40	277	399
41	282	389
42	286	379
43	291	370
44	296	361
45	297	349
46	303	342
47	307	333
48	311	324
49	316	316
50	320	308
51	324	299
52	329	292
53	333	284
54	338	276
55	342	269
56	346	261
57	351	254
58	356	247
59	361	240
60	365	233
61	369	226
62	374	219
63	378	212
64	382	206
65	387	199
66	392	193
67	396	186
68	401	180
69	405	173
70	410	167
71	414	161
72	418	154
73	423	148
74	427	142
75	431	136
76	436	130
77	441	124
78	445	118
79	450	112
80	454	106
81	458	100
82	463	94
83	467	89
84	475	83
85	479	78
86	484	72
87	488	66
88	493	60
89	497	55
90	501	49
91	506	44
92	510	38
93	515	32
94	519	27
95	524	21
96	529	16
97	534	10
98	538	5
99	542	0
