mof,AATS8Z,ATSC2d,ATSC4d,ATSC8d,ATSC1p,ATSC3p,ATSC1i,AATSC0m,AATSC7i,GATS3c,GATS8c,GATS4dv,GATS1p,SpMAD_Dzm,MINdO,AETA_eta_FL,ZMIC1,piPC10,GGI10,Diameter,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
XAVKIR_clean,21.74210526,-23.10192006,-1.989373264,-5.962564908,3.06640678,-10.79041346,13.76326227,32.65561711,0.275033517,0.794668979,0.567511214,1.053597897,0.789125002,19.62985905,11.4501591,0.303971532,140.6277865,8.744684776,0.610141822,32,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,55,120,1.24622
MOYYIJ_clean,17.84615385,-6.265306122,-0.530612245,1.408163265,1.136916934,-2.346142607,6.872833699,34.22076092,-0.293694878,0.603189781,1.664756666,1.138695652,0.787196274,6.14006693,10.71444854,0.302822927,51.05277609,6.950088631,0,10,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,48,0.857112
OFOCUI_clean,24.55555556,-8.825484765,-4.537396122,1.529085873,2.186193662,-5.415360055,18.36262112,35.38839716,0.604809376,0.664090316,0.548936557,1.065968349,0.771062019,8.079718964,11.0698079,0.292228142,63.57867079,6.848668537,0.363228242,11,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,60,48,0.856306
RUFZID_clean,15.0001605,-0.75,-4.75,0,-0.525413704,0.106662684,-6.123503062,35.64342074,0.242079625,1.670681561,1.147085137,1.429183324,1.358083814,2.431086811,10.85259827,0.259864412,17.20233662,0,0,4,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,72,0.756189
YUGLES_clean,26.44,-8.222222222,-2.24691358,-1.308641975,2.06825354,-4.053316831,12.36135611,32.45407781,0.253091482,0.600497003,0.616761645,1.152147064,0.710009195,7.96542529,11.0698079,0.295363453,64.51144864,7.94657333,0.363228242,11,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,65,24,0.992701
LIKGUJ_clean,39.11111111,0.249134948,-6.020761246,22.55017301,-0.231874192,-3.771277583,-1.959025547,24.78941006,-1.030825365,0.735832947,0.619764958,1.229832811,0.886977134,6.552713102,12.31455743,0.240465922,64.40394223,8.699181359,0,8,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,65,48,0.5917642
YAVWUQ_clean,20.80769231,-8.870625,4.248125,-7.8075,2.033129197,-5.194434386,13.48570371,32.4525163,0.792828776,0.590752125,0.549245024,1.131476051,0.754857248,8.40259854,11.23822828,0.297735531,69.26712807,8.057125041,0.281195796,12,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,70,96,0.880494
XUGROI_clean,20.10714286,-6.802734375,5.53515625,-21.65625,2.731208767,-2.918554766,16.51791081,32.8212393,-0.084057281,0.567918531,0.74702522,1.02616914,0.747109233,9.857972384,11.8059638,0.301888331,120.456289,9.259431086,0.644424038,13,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,75,24,0.730074
ZIKJOU_clean,19.42105263,-13.04252959,4.880547337,-10.97152367,1.648499865,-7.377608637,4.875110674,35.41291974,0.34709569,0.640407924,0.729604591,0.997073861,0.880337735,9.748114875,11.11172074,0.289589965,76.42445669,7.516807281,0.404652586,14,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,75,30,0.503379
ZIKJIO_clean,19.42105263,-13.04252959,4.880547337,-10.97152367,1.648499865,-7.377608637,4.875110674,35.41291974,0.34709569,0.640407924,0.729604591,0.997073861,0.880337735,9.748114875,11.11172074,0.289589965,76.42445669,7.516807281,0.404652586,14,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,75,36,0.802385
