mof,AATS7d,AATS8d,AATS8m,AATS5p,ATSC2d,ATSC3p,AATSC6dv,AATSC2s,AATSC0Z,GATS3c,GATS2dv,GATS7m,GATS1se,SpMAD_Dzm,AXp-2dv,NaasC,AMID_h,piPC3,piPC10,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
XAVKIR_clean,3.179245283,3.494736842,81.26979373,1.423840046,-23.10192006,-10.79041346,-0.317700157,0.567676853,6.924526023,0.794668979,0.731166348,0.932227054,0.791662729,19.62985905,0.13929482,12,0.500983807,5.808892959,8.744684776,0.610141822,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,55,120,0.534545
MOYYIJ_clean,2.575757576,2.192307692,63.35518831,1.279336594,-6.265306122,-2.346142607,0.511904762,0.857967429,7.25,0.603189781,0.688339921,1.058373918,0.791304728,6.14006693,0.144940769,4,0.379940618,4.460144414,6.950088631,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,48,0.730593
OFOCUI_clean,2.823529412,3.444444444,93.59317444,1.250957584,-8.825484765,-5.415360055,-0.915512465,1.196243406,7.567867036,0.664090316,0.661804527,1.134854537,0.94179949,8.079718964,0.133386486,6,0.685137814,4.714024591,6.848668537,0.363228242,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,60,48,0.789274
RUFZID_clean,2.336871941,2.241404418,53.11604345,0.890567175,-0.75,0.106662684,2.93877551,0.276033964,7.489795918,1.670681561,0.941114394,1.149391391,0.795550867,2.431086811,0.163114888,2,0.836043477,3.291196486,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,72,0.799166
YUGLES_clean,3.296296296,3.64,100.9993433,1.481085325,-8.222222222,-4.053316831,-0.287654321,1.264774806,6.941358025,0.600497003,0.614921781,1.004108947,0.898341008,7.96542529,0.133386486,6,0.52672308,4.832305759,7.94657333,0.363228242,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,65,24,0.718001
LIKGUJ_clean,3.130434783,1.37037037,149.371997,1.483626261,0.249134948,-3.771277583,0.864505555,0.738141406,5.346020761,0.735832947,0.526646447,1.01810823,0.705614448,6.552713102,0.128551815,0,0.600536756,5.075173815,8.699181359,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,65,48,1.03126
YAVWUQ_clean,2.777777778,3.538461538,78.49372969,1.355983475,-8.870625,-5.194434386,-0.09,1.123639495,6.94,0.590752125,0.595238095,1.388499286,0.920223097,8.40259854,0.129797779,8,0.686377655,4.999742853,8.057125041,0.281195796,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,70,96,0.747785
XUGROI_clean,3.471153846,3.1875,74.54389871,1.659306804,-6.802734375,-2.918554766,-0.20912982,0.740690923,6.936523438,0.567918531,0.688850091,0.890321876,0.776283483,9.857972384,0.14374552,12,0.325953013,5.443499376,9.259431086,0.644424038,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,75,24,0.794522
ZIKJOU_clean,2.810810811,2.984962406,72.35389214,1.351001562,-13.04252959,-7.377608637,-0.280769231,0.945218413,7.519230769,0.640407924,0.774449339,1.145863899,0.837039999,9.748114875,0.147736353,7,0.484027677,4.978456396,7.516807281,0.404652586,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,75,30,0.969805
ZIKJIO_clean,2.810810811,2.984962406,72.35389214,1.351001562,-13.04252959,-7.377608637,-0.280769231,0.945218413,7.519230769,0.640407924,0.774449339,1.145863899,0.837039999,9.748114875,0.147736353,7,0.484027677,4.978456396,7.516807281,0.404652586,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,75,36,0.782965
BAZFUF01_clean,3.394736842,2.840909091,60.36818889,1.460321901,-12.11418685,-3.769315624,0.278686991,0.704056132,6.955017301,0.573957074,0.736911105,0.92564292,0.768416184,9.615210349,0.146010718,9,0.310859207,5.173320876,8.707717989,0.297520661,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2.8,80,24,0.342062
SUKYIH_clean,3.020408163,3.074074074,88.28769085,1.597597604,-5.45213912,-1.280472241,0.788587258,0.822175645,7.161588181,0.555491432,0.667039602,0.710242464,0.792615285,9.364952562,0.142758816,8,0.369812597,5.247024072,8.4294611,0.494643404,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,80,24,0.59954
VOGPEO_clean,2.902439024,3,94.42985792,1.533931158,-10.11815301,-4.839108736,-0.728604427,1.246541924,7.166138524,0.5651138,0.631308225,1.300194112,0.875668809,8.814105032,0.135742689,9,0.519250017,5.107459479,8.43936002,0.281195796,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,80,72,0.767126
NAWDUN_clean,2.682719547,2.609065156,45.07888066,1.457099419,8.889273356,-0.580923749,-0.199398075,0.68320973,7.362491349,0.497144179,0.595813255,1.059410956,0.75227082,11.67343477,0.169165888,12,0.291591555,5.455321115,9.240577039,0.842567085,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,80,96,0.842634
ADATIK_clean,3.035087719,3.137254902,87.18723984,1.291723547,-9.050401753,-4.078780588,-0.178872844,0.666482332,6.939371804,0.742385601,0.661718293,0.853399216,0.794730008,8.480503567,0.133094117,6,0.718986447,4.847135492,7.098627415,0.126623814,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,12,0.377577
RUVKAV_clean,3.090909091,3.736842105,98.11949911,1.501205551,-8.570637119,-4.044724866,-0.503957262,1.216420987,6.620498615,0.615796991,0.620034313,1.119907272,0.893745261,8.990790765,0.132967162,6,0.489035194,4.923623917,8.067893744,0.148964391,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,12,0.601684
EXAXAE_clean,1,1,1.016064,1.023016303,-4.335640138,-3.044781431,-0.952422145,1.141500064,7.467128028,0.788266834,0.692498758,2.024221547,0.953963251,4.085904574,0.129537274,2,0.736246504,3.876395828,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,85,24,1.36537
QIPROY_clean,2.588235294,3.076923077,67.06838377,1.439999501,-14.0166205,-9.255047153,0.17786092,-0.120584155,7.287165282,1.308694273,1.254647082,1.010564887,0.886397267,9.519021032,0.161078492,4,0.492242739,4.852030264,6.506157682,0.097949189,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,85,24,0.794412
BAZFUF_clean,3.394736842,2.840909091,60.36818889,1.460321901,-12.11418685,-3.769315624,0.278686991,0.704056132,6.955017301,0.573957074,0.736911105,0.92564292,0.768416184,9.615210349,0.146010718,9,0.310859207,5.173320876,8.707717989,0.297520661,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,0.340053
BAZGEQ_clean,3.660377358,3.288135593,73.04197731,1.472561641,-16.34911243,-5.684038385,0.420845012,0.46146375,6.633136095,0.641172246,0.725677831,0.874823786,0.759124764,14.23589522,0.144269011,15,0.325281701,5.674182005,9.330584266,0.396082032,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,0.334895
FAGQAI_clean,3.485714286,3.472222222,75.94334358,1.652306324,-14.48476454,-4.196558838,0.398891967,0.63958141,6.443213296,0.629002102,0.724530809,0.79267651,0.772382099,11.99712773,0.143799063,9,0.262875135,5.358941988,8.943179623,0.433731252,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,48,0.481098
OYIVEY_clean,2.411764706,1.769230769,78.02833015,0.980751114,-5.222222222,-1.567765462,1.053571429,0.401234568,7.854166667,0.707480503,0.869948187,0.820131091,0.869607322,5.172512818,0.144942443,2,0.816655557,3.956039891,4.274928499,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,85,96,1.02358
BINROH_clean,3.379310345,3.491525424,65.42178739,1.527078196,-16.06616257,-5.473522893,-0.382505585,0.518194707,6.593572779,0.555863249,0.785793486,1.071409842,0.731462869,11.62585661,0.147261638,9,0.228380496,5.697093487,9.610258352,0.532292623,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,90,24,0.503862
FIGQUJ_clean,1,1,1.016064,0.757835785,-3.76816609,-0.333143791,5.57266436,1.67869976,9.162629758,0.753719935,0.6444198,2.474342506,0.904457493,4.753447644,0.18233672,0,0.749999244,2.197224577,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,18.015,100,78.5,-1.38,1,1,0.82,,90,24,1.49096
ANUGIA_clean,3.318518519,3.06993007,71.00466144,1.505405381,-12.32098765,-4.531747941,0.021722822,0.887285059,7.048010974,0.562234748,0.693483271,1.037551365,0.799855305,9.790975064,0.142381911,10,0.380318237,5.247024072,8.814755202,0.330374452,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,100,18,0.567973
ANUGOG_clean,3.318518519,3.06993007,71.00466144,1.505405381,-12.32098765,-4.531747941,0.021722822,0.887285059,7.048010974,0.562234748,0.693483271,1.037551365,0.799855305,9.790975064,0.142381911,10,0.380318237,5.247024072,8.814755202,0.330374452,29,63.546,140,4.48,6.7,119,7.726,8.933,99.131,202,32,-0.38,0,1,0.31,,100,18,0.58467
LENKIA_clean,1.444444444,1,16.126992,0.843678147,-3.08,-2.638470888,-0.656666667,0.925873016,7.89,0.937721866,0.564270484,0.348566528,1.110534309,4.515574875,0.124840568,4,0.739654493,4.098502572,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,100,18,1.31034
SODQOT_clean,1,1,1.016064,1.115081704,-4.836734694,-2.855387314,0.274376417,1.54399093,7.551020408,0.597938845,0.568115942,2.437880496,0.97234548,4.855187367,0.129261705,3,0.68388361,4.123093976,0,0,29,63.546,140,4.48,6.7,119,7.726,8.933,87.12,165,37.8,-0.77,0,1,0.25,1,100,48,1.16333
MUNDEG_clean,2.666666667,2.16,67.95983264,1.271406582,-6.621399177,-3.189835381,0.012012012,0.817068391,7.185185185,0.667443338,0.738512949,1.120117463,0.825358371,6.086981914,0.140382564,4,0.492418843,4.460144414,6.950088631,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,105,12,0.869875
