mof,AATS8m,ATSC6c,ATSC2d,ATSC4d,ATSC8d,ATSC1p,ATSC3p,ATSC1i,ATSC3i,AATSC0m,AATSC8v,GATS3c,GATS4dv,GATS1v,GATS5p,BCUTm-1l,MINdssC,AETA_eta_FL,ZMIC1,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
XAVKIR_clean,81.26979373,-0.321579312,-23.10192006,-1.989373264,-5.962564908,3.06640678,-10.79041346,13.76326227,-77.06598045,32.65561711,-4.789238993,0.794668979,1.053597897,0.715006823,1.008601409,11.66488283,-1.357907898,0.303971532,140.6277865,0.610141822,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,55,120,3312.518123
MOYYIJ_clean,63.35518831,0.069700396,-6.265306122,-0.530612245,1.408163265,1.136916934,-2.346142607,6.872833699,-13.72631812,34.22076092,1.872638845,0.603189781,1.138695652,0.746144634,0.942817768,11.68500727,-0.987031368,0.302822927,51.05277609,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,48,2824.979161
OFOCUI_clean,93.59317444,1.47357186,-8.825484765,-4.537396122,1.529085873,2.186193662,-5.415360055,18.36262112,-40.66223177,35.38839716,-2.389708596,0.664090316,1.065968349,0.676987017,1.208265527,11.69962829,-1.335937022,0.292228142,63.57867079,0.363228242,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,60,48,2758.991174
RUFZID_clean,53.11604345,0.008797599,-0.75,-4.75,0,-0.525413704,0.106662684,-6.123503062,8.528196462,35.64342074,12.40347996,1.670681561,1.429183324,1.156926241,1.695083031,11.88456963,-1.201626316,0.259864412,17.20233662,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,,60,72,2267.463831
YUGLES_clean,100.9993433,1.320795889,-8.222222222,-2.24691358,-1.308641975,2.06825354,-4.053316831,12.36135611,-23.31624002,32.45407781,-10.73879946,0.600497003,1.152147064,0.639874209,1.224004311,11.65472924,-1.335937022,0.295363453,64.51144864,0.363228242,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,1,65,24,3036.374601
LIKGUJ_clean,149.371997,1.760172262,0.249134948,-6.020761246,22.55017301,-0.231874192,-3.771277583,-1.959025547,-23.65870677,24.78941006,9.553178105,0.735832947,1.229832811,0.703705302,1.146762869,11.67902231,-0.952929658,0.240465922,64.40394223,0,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,65,48,1662.889087
YAVWUQ_clean,78.49372969,2.928808552,-8.870625,4.248125,-7.8075,2.033129197,-5.194434386,13.48570371,-43.00334851,32.4525163,11.72646117,0.590752125,1.131476051,0.651655147,1.249168285,11.6952081,-1.338566528,0.297735531,69.26712807,0.281195796,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,2,70,96,2684.822509
XUGROI_clean,74.54389871,-0.055262843,-6.802734375,5.53515625,-21.65625,2.731208767,-2.918554766,16.51791081,-16.52138153,32.8212393,-4.183194168,0.567918531,1.02616914,0.718126159,0.918433404,11.66678654,-1.122441505,0.301888331,120.456289,0.644424038,29,63.546,140,4.48,6.7,119,7.726,8.933,101.147,177,9.2,-0.52,0,1,0.2,2,75,24,2741.83723
ZIKJOU_clean,72.35389214,0.193426343,-13.04252959,4.880547337,-10.97152367,1.648499865,-7.377608637,4.875110674,-49.74955919,35.41291974,2.055528541,0.640407924,0.997073861,0.80112304,0.860875251,11.69957984,-1.281553498,0.289589965,76.42445669,0.404652586,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,75,30,1460.072901
ZIKJIO_clean,72.35389214,0.193426343,-13.04252959,4.880547337,-10.97152367,1.648499865,-7.377608637,4.875110674,-49.74955919,35.41291974,2.055528541,0.640407924,0.997073861,0.80112304,0.860875251,11.69957984,-1.281553498,0.289589965,76.42445669,0.404652586,29,63.546,140,4.48,6.7,119,7.726,8.933,73.0938,153,36.7,-1.01,0,1,0.22,0,75,36,2802.424119
