code,SMILES,Metal,solvents,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),PV
ABAVIJ,C1=CN=CC=C1C(=O)O,Co,ethanol,6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,27,58.93319,192,4.3,7.5,64,7.881,8.86,46.07,24.3,-0.31,1,1,0.3,78.37,0.12066
ABEXEN,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,dimethylformamide,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,49,114.818,193,3.1,9.7,29,5.786,7.31,73.09,36.7,-0.85,1,2,0.37,153,0.6455
ABUHAJ,C1=CN=CC=C1C2=CC=NC=C2,Mn,ethanol,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,25,54.93804,197,3.72,9.4,-50,7.434,7.3,46.07,24.3,-0.31,1,1,0.3,78.37,0.02448
ACAJOF,C(CC(=O)O)CC(=O)O,Cu,acetone,5.685185185,121.9371318,11.88927336,-54.35294118,-28.65051903,43.64619377,-44.33006536,-180.0195412,396.3992335,-332.4902357,13.27482913,-1.466084429,-1.946221552,-1.293348712,-0.744329104,2.48566421,43.06526463,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,58.08,20.7,-0.24,0,1,0.17,56.05,0.30554
ACICOH,C1=CN=CC=C1C(=O)O,Ni,"N,N-dimethylformamide",6.083333333,49.71122125,-6.326530612,-20.7755102,0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,0,0,2.893518519,28,58.693,163,4.4,6.8,112,7.64,8.912,73.09,36.7,-0.85,1,2,0.37,153,0.3082
ACOLIP,C1=CC(=C(C=C1C(=O)O)N)C(=O)O,Zn,"N,N-dimethylformamide",5.821548822,115.1665639,14.01,-34.97,38.92,35.20111111,-14.48555556,-280.433781,224.6625939,4.290158193,-54.96179564,-1.068,-18.95587204,-1.0925,-0.913030303,4.203716805,-6.706334219,0,0,3.481203704,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.26756
ADAXIO,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,"N,N-dimethylformamide",4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,0.31528
AFITEP,C1=CN=CC=C1C2=CC=NC=C2,Zn,dimethylformamide,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,0.34602
AHISUI,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Pr,dimethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,59,140.90766,239,3.1,28.2,93,5.464,6.77,73.09,36.7,-0.85,1,2,0.37,153,0.12626
AHITAP,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Nd,dimethylformamide,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,60,144.24,229,3.1,31.4,185,5.525,7.01,73.09,36.7,-0.85,1,2,0.37,153,0.1224
