AATS4s,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC5dv,AATSC4Z,AATSC0v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBA,MPC,Boiling Point (°C),Target
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,1.0,0.3,78.37,1.52493
4.274074074,157.6435699,1.0,-45.5,203.0,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,0.305555556,-2.116666667,46.91945671,23.78241367,6.836984153,2.75,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,2.0,0.37,153.0,0.674371
2.490196078,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,0.585,-1.160588235,50.28462104,22.73366526,0.0,2.1436,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,46.07,24.3,-0.31,1.0,0.3,78.37,1.4536
4.127572016,178.7720847,11.88927336,-54.35294118,155.7647059,-148.8894545,35.20524829,13.27482913,3.516550865,1.919941941,-0.744329104,-0.796616686,42.78332994,24.13678236,6.749993194,0.3259,29.0,63.55,140.0,4.48,6.7,119.0,7.726,8.933,58.08,20.7,-0.24,1.0,0.17,56.05,1.21871
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,28.0,58.693,163.0,4.4,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,2.0,0.37,153.0,1.25034
6.172222222,175.1344561,14.01,-34.97,158.2,-403.3543722,-578.3171355,-54.96179564,-0.4656,2.26333397,-0.913030303,-1.47,42.37728459,30.24642141,6.824833415,0.6652,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.0495
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.28062
2.490196078,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,0.585,-1.160588235,50.28462104,22.73366526,0.0,2.1436,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.06929
5.576388889,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,0.402039721,-2.023533951,42.93582616,26.3638878,6.828547389,1.083,59.0,140.90766,239.0,3.1,28.2,93.0,5.464,6.77,73.09,36.7,-0.85,2.0,0.37,153.0,1.69914
5.576388889,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,0.402039721,-2.023533951,42.93582616,26.3638878,6.828547389,1.083,60.0,144.24,229.0,3.1,31.4,185.0,5.525,7.01,73.09,36.7,-0.85,2.0,0.37,153.0,1.71796
